名称,郵便番号,住所,URL,コメント,電話番号,FAX番号,EMAIL,写真,担当課,経度,緯度,分類
東北大学病院,980-8574,仙台市青葉区星陵町1-1,http://www.hosp.tohoku.ac.jp/,,022-717-7000,,,,健康福祉局保健医療課,140.8610281,38.27198158,病院
宮城県立こども病院,989-3126,仙台市青葉区落合4-3-17,http://www.miyagi-children.or.jp/,,022-391-5111,,,,健康福祉局保健医療課,140.7824778,38.27494275,病院
仙台逓信病院,980-0021,仙台市青葉区中央4-5-1,http://www.hospital.japanpost.jp/sendai/,,022-268-3150,,,,健康福祉局保健医療課,140.8771551,38.25759917,病院
独立行政法人労働者健康福祉機構　東北労災病院,981-8563,仙台市青葉区台原4-3-21,http://www.tohokuh.rofuku.go.jp/,,022-275-1111,,,,健康福祉局保健医療課,140.8757165,38.28430869,病院
独立行政法人地域医療機能推進機構　仙台病院,981-8501,仙台市青葉区堤町3-16-1,http://www.sendai-shaho.com/,,022-275-3111,,,,健康福祉局保健医療課,140.8702163,38.29093618,病院
東北公済病院,980-0803,仙台市青葉区国分町2-3-11,http://www.tohokukosai.com/,,022-227-2211,,,,健康福祉局保健医療課,140.8681427,38.2626853,病院
仙台厚生病院,980-0873,仙台市青葉区広瀬町4-15,http://www.sendai-kousei-hospital.jp/,,022-222-6181,,,,健康福祉局保健医療課,140.8574975,38.26983221,病院
内科佐藤病院,980-0011,仙台市青葉区上杉2-3-17,http://www.shukokai.or.jp/,,022-221-5566,,,,健康福祉局保健医療課,140.8692758,38.27288885,病院
早坂愛生会病院,980-0855,仙台市青葉区川内澱橋通38,,,022-261-1611,,,,健康福祉局保健医療課,140.8558759,38.26510072,病院
国見台病院,981-0943,仙台市青葉区国見1-15-22,http://www.kunimidai.com/,,022-234-5251,,,,健康福祉局保健医療課,140.8446041,38.27815519,病院
ＪＲ仙台病院,980-8508,仙台市青葉区五橋1-1-5,http://www.jr-hospital.aoba.sendai.jp/,,022-266-9671,,,,健康福祉局保健医療課,140.8807654,38.25570032,病院
医療法人ひろせ会広瀬病院,989-3121,仙台市青葉区郷六字大森4-2,http://www.hirosehos.jp/,,022-226-2661,,,,健康福祉局保健医療課,140.8109595,38.25481285,病院
東北会病院,981-0933,仙台市青葉区柏木1-8-7,http://www.tohokukai.com/,,022-234-0461,,,,健康福祉局保健医療課,140.8605952,38.27538787,病院
宮城中央病院,980-0011,仙台市青葉区上杉1-9-17,http://www.miyachu-hp.or.jp/,,022-224-1307,,,,健康福祉局保健医療課,140.8711285,38.2711691,病院
貝山中央病院,980-0804,仙台市青葉区大町2-12-8,http://www.kaiyama.com/,,022-222-5945,,,,健康福祉局保健医療課,140.866723,38.26070987,病院
医療法人宏人会木町病院,980-0801,仙台市青葉区木町通1-7-13,http://www.koujinkai-med.or.jp/,,022-224-5511,,,,健康福祉局保健医療課,140.8633998,38.2702366,病院
西仙台病院,989-3212,仙台市青葉区芋沢字新田54-4,http://www.ims.gr.jp/nishisendai-hp/,,022-394-5721,,,,健康福祉局保健医療課,140.7429268,38.27559681,病院
伊藤病院,980-0802,仙台市青葉区二日町8-8,http://st.cat-v.ne.jp/ito.hospital/,,022-222-8688,,,,健康福祉局保健医療課,140.8663367,38.26976373,病院
台原高柳病院,981-0911,仙台市青葉区台原6-3-33,,,022-273-2525,,,,健康福祉局保健医療課,140.8773604,38.28096076,病院
仙台中江病院,980-0001,仙台市青葉区中江1-10-18,http://www9.plala.or.jp/snh/,,022-263-3031,,,,健康福祉局保健医療課,140.889614,38.27440939,病院
エコー療育園,989-3212,仙台市青葉区芋沢字横前1-1,http://www.yokofuku.or.jp/echosmid/,,022-394-7711,,,,健康福祉局保健医療課,140.7588028,38.29276553,病院
平成眼科病院,989-3121,仙台市青葉区郷六字沼田13-3,http://www.heisei-oph.or.jp/,,022-302-1066,,,,健康福祉局保健医療課,140.814942,38.26332597,病院
杜のホスピタル・あおば,980-0871,仙台市青葉区八幡6-9-3,http://www.shosinkai.jp/,,022-718-8871,,,,健康福祉局保健医療課,140.83484,38.26602145,病院
独立行政法人国立病院機構　仙台医療センター,983-8520,仙台市宮城野区宮城野2-8-8,http://www.snh.go.jp/,,022-293-1111,,,,健康福祉局保健医療課,140.9070511,38.26124484,病院
自衛隊仙台病院,983-0041,仙台市宮城野区南目館1-1,,,022-231-1111,,,,健康福祉局保健医療課,140.9157444,38.26204942,病院
東北薬科大学病院,983-8512,仙台市宮城野区福室1-12-1,http://www.hosp.tohoku-pharm.ac.jp/,,022-259-1221,,,,健康福祉局保健医療課,140.9667457,38.26930688,病院
国家公務員共済組合連合会　東北公済病院宮城野分院,983-0833,仙台市宮城野区東仙台4-16-1,http://www.tohokukosai.com/miyagino/,,022-293-7711,,,,健康福祉局保健医療課,140.9112427,38.27785102,病院
青葉病院,983-0836,仙台市宮城野区幸町3-15-20,http://www.aobahp.or.jp/,,022-257-7586,,,,健康福祉局保健医療課,140.9038864,38.27718425,病院
光ヶ丘スペルマン病院,983-0833,仙台市宮城野区東仙台6-7-1,http://www.spellman.or.jp/,,022-257-0231,,,,健康福祉局保健医療課,140.9112293,38.27911945,病院
公益財団法人仙台市医療センター仙台オープン病院,983-0824,仙台市宮城野区鶴ヶ谷5-22-1,http://www.openhp.or.jp/,,022-252-1111,,,,健康福祉局保健医療課,140.9172834,38.29449748,病院
安田病院,983-0803,仙台市宮城野区小田原2-2-40,http://www.hospyd.com/,,022-256-5166,,,,健康福祉局保健医療課,140.8957555,38.263574,病院
中嶋病院,983-0835,仙台市宮城野区大梶15-27,http://www.nakajima-hs.or.jp/,,022-291-5191,,,,健康福祉局保健医療課,140.9068327,38.27246492,病院
仙台東脳神経外科病院,983-0821,仙台市宮城野区岩切1-12-1,http://www.noukenkai.jp/,,022-255-7117,,,,健康福祉局保健医療課,140.936314,38.29125632,病院
岩切病院,983-0821,仙台市宮城野区岩切字稲荷21,http://www.iwakiri-hp.jp/,,022-255-5555,,,,健康福祉局保健医療課,140.9383962,38.30074177,病院
NTT東日本東北病院,984-8560,仙台市若林区大和町2-29-1,http://www.ntt-east.co.jp/thk_mhc/,,022-236-5911,,,,健康福祉局保健医療課,140.9113814,38.24650214,病院
仙台整形外科病院,984-0038,仙台市若林区伊在字東通24,http://www.sendaiseikei.or.jp/,,022-288-8900,,,,健康福祉局保健医療課,140.9419508,38.24851215,病院
仙台中央病院,984-0051,仙台市若林区新寺3-13-6,http://www.sendai-cyuou-hp.jp/,,022-297-0208,,,,健康福祉局保健医療課,140.8902518,38.25423066,病院
内科河原町病院,984-0827,仙台市若林区南小泉八軒小路4,,,022-222-8657,,,,健康福祉局保健医療課,140.8928148,38.24048734,病院
独立行政法人国立病院機構　仙台西多賀病院,982-8555,仙台市太白区鈎取本町2-11-11,http://www.nishitaga-hosp.jp/,,022-245-2111,,,,健康福祉局保健医療課,140.8348038,38.2262243,病院
宮城県拓桃医療療育センター,982-0241,仙台市太白区秋保町湯元字鹿乙20,http://www.pref.miyagi.jp/soshiki/takutou/,,022-398-2221,,,,健康福祉局保健医療課,140.7167666,38.22847549,病院
仙台赤十字病院,982-8501,仙台市太白区八木山本町2-43-3,http://www.sendai.jrc.or.jp/,,022-243-1111,,,,健康福祉局保健医療課,140.8391436,38.23697584,病院
独立行政法人地域医療機能推進機構　仙台南病院,981-1103,仙台市太白区中田町字前沖143,http://sendaiminami.jcho.go.jp/,,022-306-1711,,,,健康福祉局保健医療課,140.8994578,38.19073401,病院
一般財団法人広南会広南病院,982-8523,仙台市太白区長町南4-20-1,http://www.kohnan-sendai.or.jp/,,022-248-2131,,,,健康福祉局保健医療課,140.8718541,38.21986235,病院
公益財団法人宮城厚生協会長町病院,982-0011,仙台市太白区長町3-7-26,http://www.m-kousei.com/nagamati/,,022-746-5161,,,,健康福祉局保健医療課,140.8840338,38.22971199,病院
医療法人吉田報恩会春日療養園,981-1104,仙台市太白区中田5-5-1,http://kasuga.la.coocan.jp/,,022-241-4642,,,,健康福祉局保健医療課,140.8857921,38.19643073,病院
医療法人翠十字杜都中央病院,982-0816,仙台市太白区山田本町8-30,http://www.midorijuji.or.jp/hospital.html,,022-245-6677,,,,健康福祉局保健医療課,140.8298887,38.216783,病院
仙台・太白病院,982-0032,仙台市太白区富沢1-12-26,http://www.biei.or.jp/sakura/,,022-243-1525,,,,健康福祉局保健医療課,140.8666433,38.21896464,病院
仙台・富田病院,982-0033,仙台市太白区富田字南の西28-3,http://www.aoikai.jp/facilities/sendaitomita.html,,022-243-2255,,,,健康福祉局保健医療課,140.8478362,38.20786688,病院
仙台富沢病院,982-0032,仙台市太白区富沢字寺城11-４,http://www16.ocn.ne.jp/~tomizawa/,,022-307-3375,,,,健康福祉局保健医療課,140.8606699,38.20985312,病院
一般財団法人宮城県成人病予防協会附属仙台循環器病センター,981-3107,仙台市泉区本田町21-1,http://www.mygsji.or.jp/junkanki/,,022-372-1111,,,,健康福祉局保健医療課,140.902344,38.32384561,病院
公益財団法人宮城厚生協会泉病院,981-3212,仙台市泉区長命ヶ丘2-1-1,http://www.m-kousei.com/izumi/,,022-378-5361,,,,健康福祉局保健医療課,140.8432278,38.31706555,病院
医療法人松田会松田病院,981-3217,仙台市泉区実沢字立田屋敷17-1,http://www.matsuda-hp.com/,,022-378-5666,,,,健康福祉局保健医療課,140.8381139,38.33442081,病院
医療法人徳洲会仙台徳洲会病院,981-3131,仙台市泉区七北田字駕籠沢15,http://www.tokushukai.or.jp/sendai/,,022-372-1110,,,,健康福祉局保健医療課,140.8748257,38.32637059,病院
泌尿器科泉中央病院,981-3121,仙台市泉区上谷刈4-16-14,http://www.izuchu.com/,,022-373-5056,,,,健康福祉局保健医療課,140.8754516,38.31534571,病院
泉ヶ丘クリニック,981-3134,仙台市泉区桂1-18-1,http://www.cl-meiyo.org/iz_home.html,,022-373-7715,,,,健康福祉局保健医療課,140.8637395,38.33211576,病院
泉整形外科病院,981-3121,仙台市泉区上谷刈字丸山6-1,http://www.izumiseikei.com/,,022-373-7377,,,,健康福祉局保健医療課,140.8674969,38.31189424,病院
医療法人松田会エバーグリーン病院,981-3217,仙台市泉区実沢字立田屋敷17-1,http://www.matsuda-hp.com/matsuda/1EHP.html,,022-378-3838,,,,健康福祉局保健医療課,140.8376109,38.33387226,病院
仙台市立病院,982-8502,太白区あすと長町一丁目1番1号,http://hospital.city.sendai.jp/,,022-308-7111,,,,健康福祉局保健医療課,140.8886374,38.232133,病院
医療法人翠十字社都千愛病院,982-0251,仙台市太白区茂庭字人来田西8-13,http://www.midorijuji.or.jp/senai_h.html,,022-281-0033,,,,健康福祉局保健医療課,140.8012076,38.21545094,病院
東北福祉大学せんだんホスピタル,989-3201,仙台市青葉区国見ヶ丘6-65-8,http://www.tfu.ac.jp/hospital/,,022-303-0125,,,,健康福祉局保健医療課,140.8332501,38.28701356,病院
