名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
指定避難所（幸町南小学校）,仙台市宮城野区幸町5-2-1,"10,302(㎡)","5,100(人)",887(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8994543,38.27409865,指定避難所
指定避難所（宮城野小学校）,仙台市宮城野区東宮城野2-1,"6,841(㎡)","3,400(人)","1,010(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9160595,38.26085651,指定避難所
指定避難所（宮城野中学校）,仙台市宮城野区五輪1-4-25,"6,867(㎡)","3,400(人)","1,295(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8996544,38.26258511,指定避難所
指定避難所（東華中学校）,仙台市宮城野区宮城野2-14-27,"12,683(㎡)","6,300(人)","1,174(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8994809,38.25432283,指定避難所
指定避難所（東宮城野小学校）,仙台市宮城野区東宮城野5-1,"3,913(㎡)","1,900(人)",556(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9194788,38.25918182,指定避難所
指定避難所（原町小学校）,仙台市宮城野区原町2-6-1,"3,780(㎡)","1,800(人)","1,484(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9036018,38.26666074,指定避難所
指定避難所（東仙台小学校）,仙台市宮城野区東仙台5-26-1,"4,714(㎡)","2,300(人)","1,041(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9126168,38.27722363,指定避難所
指定避難所（幸町中学校）,仙台市宮城野区幸町1-15-1,"11,156(㎡)","5,500(人)","1,185(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8937934,38.27717593,指定避難所
指定避難所（西山小学校）,仙台市宮城野区燕沢2-23-1,"6,044(㎡)","3,000(人)",778(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9148856,38.28344226,指定避難所
指定避難所（西山中学校）,仙台市宮城野区燕沢2-21-1,"8,297(㎡)","4,100(人)","1,114(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9167994,38.28282017,指定避難所
指定避難所（鶴谷小学校）,仙台市宮城野区鶴ケ谷3-17,"15,637(㎡)","7,800(人)",932(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9099895,38.29069191,指定避難所
指定避難所（鶴谷東小学校）,仙台市宮城野区鶴ケ谷6-2,"7,584(㎡)","3,700(人)",717(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.91989,38.29069058,指定避難所
指定避難所（中野中学校）,仙台市宮城野区中野字高橋前65,"9,746(㎡)","4,800(人)","1,210(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。　,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9759726,38.28264765,指定避難所
指定避難所（田子中学校）,仙台市宮城野区田子2-12-1,"11,561(㎡)","5,700(人)",988(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.957935,38.27888013,指定避難所
指定避難所（高砂中学校）,仙台市宮城野区白鳥1-32-1,"15,504(㎡)","7,700(人)","1,184(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9769481,38.26455776,指定避難所
指定避難所（荒町小学校）,仙台市若林区荒町86,"4,554(㎡)","2,200(人)",723(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8810386,38.24887784,指定避難所
指定避難所（連坊小路小学校）,仙台市若林区連坊1-7-27,"6,606(㎡)","3,300(人)",865(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8889709,38.25293348,指定避難所
指定避難所（大和小学校）,仙台市若林区大和町3-16-1,"4,144(㎡)","2,000(人)","1,117(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9175964,38.24654095,指定避難所
指定避難所（遠見塚小学校）,仙台市若林区遠見塚1-22-1,"8,063(㎡)","4,000(人)",945(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9125557,38.23817485,指定避難所
指定避難所（古城小学校）,仙台市若林区古城2-1-1,"9,573(㎡)","4,700(人)",854(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8971515,38.23655214,指定避難所
指定避難所（七郷小学校）,仙台市若林区荒井字堀添53-2,"7,224(㎡)","3,600(人)","1,122(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9426281,38.24059429,指定避難所
津波からの緊急一時的な避難ビルとしてのみ使用可能です （荒浜小学校）,仙台市若林区荒浜字新堀端32-1,"4,480(㎡)","2,200(人)",445(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,（津波からの緊急一時的な避難ビルとしてのみ使用可能です。食料等の備蓄はありません）,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9803612,38.22221888,指定避難所
指定避難所（沖野小学校）,仙台市若林区沖野3-20-1,"7,103(㎡)","3,500(人)",930(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9140964,38.22680545,指定避難所
指定避難所（六郷小学校）,仙台市若林区六郷11-11,"6,514(㎡)","3,200(人)",920(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9332245,38.21514457,指定避難所
指定避難所（蒲町小学校）,仙台市若林区蒲町41-1,"10,565(㎡)","5,200(人)",977(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9294845,38.24290247,指定避難所
指定避難所（南小泉小学校）,仙台市若林区一本杉町17-10,"6,702(㎡)","3,300(人)",865(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9052032,38.24470175,指定避難所
指定避難所（南小泉中学校）,仙台市若林区一本杉町2-1,"7,153(㎡)","3,500(人)","1,051(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.904931,38.24368794,指定避難所
指定避難所（六郷中学校）,仙台市若林区六郷13-1,"10,446(㎡)","5,200(人)",980(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9342245,38.21378365,指定避難所
指定避難所（七郷中学校）,仙台市若林区荒井字遠藤9-3,"10,400(㎡)","5,200(人)","1,044(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9461309,38.23724462,指定避難所
津波からの緊急一時的な避難ビルとしてのみ使用可能です （東六郷小学校）,仙台市若林区種次字山王前2-6,"7,309(㎡)","3,600(人)",492(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,（津波からの緊急一時的な避難ビルとしてのみ使用可能です。食料等の備蓄はありません）,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9491153,38.19889738,指定避難所
指定避難所（沖野中学校）,仙台市若林区沖野2-29-50,"11,667(㎡)","5,800(人)","1,045(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9150587,38.22897859,指定避難所
指定避難所（沖野東小学校）,仙台市若林区沖野字高野南89,"9,984(㎡)","4,900(人)",715(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9223139,38.22322386,指定避難所
指定避難所（南材木町小学校）,仙台市若林区南材木町84,"5,640(㎡)","2,800(人)",803(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8894771,38.24125678,指定避難所
指定避難所（八軒中学校）,仙台市若林区南小泉字八軒小路9-1,"5,005(㎡)","2,500(人)","1,403(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8924907,38.24114864,指定避難所
指定避難所（若林小学校）,仙台市若林区若林4-3-1,"7,392(㎡)","3,600(人)",885(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8996433,38.22951689,指定避難所
指定避難所（蒲町中学校）,仙台市若林区蒲町9-1,"11,522(㎡)","5,700(人)","1,125(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9287926,38.24744931,指定避難所
指定避難所（向山小学校）,仙台市太白区向山3-19-1,"11,835(㎡)","5,900(人)",761(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8668069,38.24340003,指定避難所
指定避難所（愛宕中学校）,仙台市太白区萩ケ丘9-1,"12,683(㎡)","6,300(人)",847(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8706818,38.24145849,指定避難所
指定避難所（大野田小学校）,仙台市太白区大野田字六反田10-5,"8,008(㎡)","4,000(人)",960(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8744814,38.21672618,指定避難所
指定避難所（郡山中学校）,仙台市太白区郡山5-10-1,"11,460(㎡)","5,700(人)","1,155(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.892408,38.21994554,指定避難所
指定避難所（八本松小学校）,仙台市太白区八本松1-16-1,"5,024(㎡)","2,500(人)",724(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8979613,38.22544534,指定避難所
指定避難所（長町中学校）,仙台市太白区鹿野1-8-1,"7,084(㎡)","3,500(人)","1,341(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8739149,38.23048227,指定避難所
指定避難所（西多賀小学校）,仙台市太白区西多賀2-3-1,"6,662(㎡)","3,300(人)","1,010(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8593045,38.21982278,指定避難所
指定避難所（八木山小学校）,仙台市太白区八木山本町1-40-1,"14,837(㎡)","7,400(人)",826(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8490944,38.23899786,指定避難所
指定避難所（八木山南小学校）,仙台市太白区八木山南5-3-2,"6,902(㎡)","3,400(人)",690(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8319547,38.23385669,指定避難所
指定避難所（芦口小学校）,仙台市太白区芦の口1-1,"7,184(㎡)","3,500(人)",692(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8568601,38.2304408,指定避難所
指定避難所（金剛沢小学校）,仙台市太白区金剛沢1-1-1,"4,709(㎡)","2,300(人)",745(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8489499,38.2290992,指定避難所
指定避難所（山田中学校）,仙台市太白区山田北前町36-1,"7,551(㎡)","3,700(人)",829(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8266776,38.22072194,指定避難所
指定避難所（太白小学校）,仙台市太白区太白1-5-1,"7,240(㎡)","3,600(人)",724(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8175063,38.23127334,指定避難所
指定避難所（生出中学校）,仙台市太白区茂庭字中ノ瀬西2-2,"8,838(㎡)","4,400(人)",808(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7899785,38.21952103,指定避難所
指定避難所（中田小学校）,仙台市太白区中田4-1-1,"12,948(㎡)","6,400(人)",918(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8876702,38.19998656,指定避難所
指定避難所（四郎丸小学校）,仙台市太白区四郎丸字吹上6-3,"9,380(㎡)","4,600(人)",928(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9106799,38.19393242,指定避難所
指定避難所（袋原小学校）,仙台市太白区中田町字法地南4-2,"7,602(㎡)","3,800(人)","1,046(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9024138,38.19604299,指定避難所
指定避難所（長町小学校）,仙台市太白区長町4-6-1,"7,274(㎡)","3,600(人)","1,284(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8806949,38.2316574,指定避難所
指定避難所（鹿野小学校）,仙台市太白区鹿野2-9-1,"8,161(㎡)","4,000(人)",899(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8704762,38.22887971,指定避難所
指定避難所（上野山小学校）,仙台市太白区上野山1-20-1,"7,837(㎡)","3,900(人)",872(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8294217,38.22682411,指定避難所
指定避難所（西多賀中学校）,仙台市太白区西多賀3-10-1,"7,900(㎡)","3,900(人)","1,008(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8520607,38.22615519,指定避難所
指定避難所（袋原中学校）,仙台市太白区袋原4-27-1,"10,109(㎡)","5,000(人)",984(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9129017,38.19880695,指定避難所
指定避難所（郡山小学校）,仙台市太白区郡山字行新田1-1,"11,597(㎡)","5,700(人)",708(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8995437,38.21682668,指定避難所
指定避難所（茂庭台小学校）,仙台市太白区茂庭台4-17-1,"8,638(㎡)","4,300(人)",946(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7838837,38.23726638,指定避難所
指定避難所（馬場小学校）,仙台市太白区秋保町馬場字町北25,"3,595(㎡)","1,700(人)",348(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.644003,38.27021045,指定避難所
指定避難所（秋保小学校）,仙台市太白区秋保町長袋字町15,"7,112(㎡)","3,500(人)",371(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.6801486,38.25592435,指定避難所
指定避難所（湯元小学校）,仙台市太白区秋保町湯向29-3,"8,817(㎡)","4,400(人)",572(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.719489,38.23057011,指定避難所
指定避難所（秋保中学校）,仙台市太白区秋保町長袋字大原45-5,"8,623(㎡)","4,300(人)",822(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.6731182,38.2594515,指定避難所
