名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
指定避難所（東四郎丸小学校）,仙台市太白区四郎丸字昭和北1,"11,821(㎡)","5,900(人)",781(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9237817,38.193333,指定避難所
指定避難所（西中田小学校）,仙台市太白区西中田7-7-1,"9,125(㎡)","4,500(人)","1,049(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8761435,38.19339516,指定避難所
指定避難所（長町南小学校）,仙台市太白区長町7-23-1,"7,164(㎡)","3,500(人)","1,097(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8744537,38.22574144,指定避難所
指定避難所（坪沼小学校）,仙台市太白区坪沼字長田中9-1,"2,420(㎡)","1,200(人)",421(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7715393,38.19184549,指定避難所
指定避難所（富沢中学校）,仙台市太白区富沢2-4-1,"9,970(㎡)","4,900(人)","1,276(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8637988,38.21828414,指定避難所
指定避難所（人来田小学校）,仙台市太白区人来田1-1-1,"8,332(㎡)","4,100(人)",781(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8093127,38.22466547,指定避難所
指定避難所（東長町小学校）,仙台市太白区郡山6-5-1,"10,962(㎡)","5,400(人)","1,097(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8892194,38.21893724,指定避難所
指定避難所（中田中学校）,仙台市太白区中田5-15-1,"10,863(㎡)","5,400(人)",994(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8895397,38.19602034,指定避難所
指定避難所（八木山中学校）,仙台市太白区八木山東2-27-1,"16,284(㎡)","8,100(人)",991(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8464835,38.23748417,指定避難所
指定避難所（人来田中学校）,仙台市太白区人来田1-35-1,"14,892(㎡)","7,400(人)",785(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8057853,38.22696788,指定避難所
指定避難所（生出小学校）,仙台市太白区茂庭字中ノ瀬西5-2,"6,148(㎡)","3,000(人)",497(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7887691,38.21971376,指定避難所
指定避難所（茂庭台中学校）,仙台市太白区茂庭台5-3-1,"13,300(㎡)","6,600(人)",937(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7782871,38.23429424,指定避難所
指定避難所（生出小学校赤石分校）,仙台市太白区茂庭字合ノ沢南31,"5,600(㎡)","2,800(人)",347(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7553955,38.21654524,指定避難所
指定避難所（柳生中学校）,仙台市太白区柳生3-7-3,"11,279(㎡)","5,600(人)","1,149(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8719275,38.18849259,指定避難所
指定避難所（柳生小学校）,仙台市太白区柳生字台畑100,"8,281(㎡)","4,100(人)",957(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8718547,38.1984391,指定避難所
指定避難所（根白石小学校）,仙台市泉区根白石字杉下前15,"11,050(㎡)","5,500(人)",467(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7966837,38.34132943,指定避難所
指定避難所（高森小学校）,仙台市泉区高森3-1,"10,400(㎡)","5,200(人)",449(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8453257,38.34095527,指定避難所
指定避難所（将監小学校）,仙台市泉区将監3-10-1,"13,752(㎡)","6,800(人)",921(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8826002,38.33338769,指定避難所
指定避難所（将監中央小学校）,仙台市泉区将監10-3-1,"12,436(㎡)","6,200(人)",872(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8737898,38.33659258,指定避難所
指定避難所（向陽台小学校）,仙台市泉区向陽台5-6-12,"11,639(㎡)","5,800(人)","1,008(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8977818,38.33482725,指定避難所
指定避難所（七北田小学校）,仙台市泉区七北田字東裏90,"9,464(㎡)","4,700(人)",956(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8925578,38.32279499,指定避難所
指定避難所（七北田中学校）,仙台市泉区七北田字東裏100,"17,441(㎡)","8,700(人)","1,111(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8929633,38.32418096,指定避難所
指定避難所（松森小学校）,仙台市泉区鶴が丘2-2,"9,818(㎡)","4,900(人)",517(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9192971,38.3194215,指定避難所
指定避難所（黒松小学校）,仙台市泉区黒松3-11-1,"9,250(㎡)","4,600(人)",977(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.886442,38.30791917,指定避難所
指定避難所（八乙女中学校）,仙台市泉区旭丘堤2-1-1,"17,501(㎡)","8,700(人)","1,003(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8908972,38.30238959,指定避難所
指定避難所（南光台小学校）,仙台市泉区南光台7-10-1,"12,960(㎡)","6,400(人)",979(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9006716,38.300576,指定避難所
指定避難所（南光台東小学校）,仙台市泉区南光台東2-16-1,"10,864(㎡)","5,400(人)",742(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.91186,38.29846239,指定避難所
指定避難所（南光台中学校）,仙台市泉区南光台7-24-1,"11,110(㎡)","5,500(人)",982(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9018965,38.3026813,指定避難所
指定避難所（泉ケ丘小学校）,仙台市泉区明通4-12-1,"15,885(㎡)","7,900(人)",537(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8616042,38.35618231,指定避難所
指定避難所（加茂小学校）,仙台市泉区加茂4-3,"14,223(㎡)","7,100(人)",940(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8547334,38.31336789,指定避難所
指定避難所（八乙女小学校）,仙台市泉区松森字不動148,"7,207(㎡)","3,600(人)",941(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8950024,38.3071695,指定避難所
指定避難所（鶴が丘小学校）,仙台市泉区鶴が丘1-350,"10,923(㎡)","5,400(人)",706(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9293131,38.31509458,指定避難所
指定避難所（寺岡中学校）,仙台市泉区寺岡2-13-1,"18,548(㎡)","9,200(人)",948(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8311466,38.34051052,指定避難所
指定避難所（南中山小学校）,仙台市泉区南中山2-24-14,"13,777(㎡)","6,800(人)",728(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.822827,38.30882792,指定避難所
指定避難所（虹の丘小学校）,仙台市泉区虹の丘1-10-1,"9,745(㎡)","4,800(人)",778(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8732465,38.30749064,指定避難所
指定避難所（長命ケ丘中学校）,仙台市泉区長命ケ丘2-11-1,"11,360(㎡)","5,600(人)",846(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.841225,38.31251103,指定避難所
指定避難所（加茂中学校）,仙台市泉区加茂3-1,"9,639(㎡)","4,800(人)","1,079(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8537458,38.31550073,指定避難所
指定避難所（館小学校）,仙台市泉区館7-1-17,"16,762(㎡)","8,300(人)",999(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7992937,38.31215328,指定避難所
指定避難所（住吉台小学校）,仙台市泉区住吉台西4-1-1,"13,266(㎡)","6,600(人)","1,279(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7824498,38.32943348,指定避難所
指定避難所（野村小学校）,仙台市泉区野村字東原前7,"4,250(㎡)","2,100(人)",339(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8611333,38.32490437,指定避難所
指定避難所（実沢小学校）,仙台市泉区実沢字一本橋20,"5,770(㎡)","2,800(人)",528(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8211508,38.32853121,指定避難所
指定避難所（福岡小学校）,仙台市泉区福岡字堰添10,"7,864(㎡)","3,900(人)",559(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7819039,38.35433082,指定避難所
指定避難所（高森中学校）,仙台市泉区高森6-2,"17,276(㎡)","8,600(人)",991(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8500225,38.33979715,指定避難所
指定避難所（泉松陵小学校）,仙台市泉区松陵3-35,"10,078(㎡)","5,000(人)",831(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9074726,38.3308809,指定避難所
指定避難所（北中山小学校）,仙台市泉区北中山2-27-5,"10,500(㎡)","5,200(人)",910(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8149161,38.31582145,指定避難所
指定避難所（桂小学校）,仙台市泉区桂3-1-1,"10,000(㎡)","5,000(人)",948(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8649119,38.33947924,指定避難所
指定避難所（鶴が丘中学校）,仙台市泉区鶴が丘2-1-1,"12,382(㎡)","6,100(人)",881(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9203415,38.31862718,指定避難所
指定避難所（松陵中学校）,仙台市泉区松陵5-32,"10,700(㎡)","5,300(人)","1,029(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9161664,38.32903701,指定避難所
指定避難所（南光台東中学校）,仙台市泉区南光台東3-1-1,"14,152(㎡)","7,000(人)",758(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9146567,38.30212045,指定避難所
指定避難所（向陽台中学校）,仙台市泉区市名坂字天神沢38-4,"19,362(㎡)","9,600(人)",981(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9057616,38.33298615,指定避難所
指定避難所（将監東中学校）,仙台市泉区将監3-2-15,"10,993(㎡)","5,400(人)",992(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8870942,38.33270465,指定避難所
指定避難所（将監中学校）,仙台市泉区将監9-12-1,"9,274(㎡)","4,600(人)","1,155(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8712624,38.33280118,指定避難所
指定避難所（将監西小学校）,仙台市泉区将監10-29-1,"8,922(㎡)","4,400(人)",703(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8696903,38.33446485,指定避難所
指定避難所（高森東小学校）,仙台市泉区高森7-1-1,"8,685(㎡)","4,300(人)",749(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8549623,38.33920286,指定避難所
指定避難所（長命ケ丘小学校）,仙台市泉区長命ケ丘5-14-1,"11,296(㎡)","5,600(人)",714(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8336866,38.3146886,指定避難所
指定避難所（南中山中学校）,仙台市泉区南中山2-26-1,"12,923(㎡)","6,400(人)","1,118(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8278988,38.30785588,指定避難所
指定避難所（寺岡小学校）,仙台市泉区寺岡2-14-1,"12,545(㎡)","6,200(人)",961(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8283885,38.34038268,指定避難所
指定避難所（住吉台中学校）,仙台市泉区住吉台西4-1-2,"11,600(㎡)","5,800(人)","1,158(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7814246,38.32980623,指定避難所
指定避難所（根白石中学校）,仙台市泉区根白石字東鹿野54,"12,101(㎡)","6,000(人)",771(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8020661,38.34680091,指定避難所
指定避難所（館中学校）,仙台市泉区館6-17-1,"9,154(㎡)","4,500(人)",962(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7992216,38.31745248,指定避難所
指定避難所（仙台商業高等学校）,仙台市泉区七北田字古内75,"59,002(㎡)","29,000(人)","2,298(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8716739,38.32389382,指定避難所
指定避難所（市名坂小学校）,仙台市泉区市名坂字高玉1,"6,630(㎡)","3,300(人)","1,660(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.890722,38.31796778,指定避難所
指定避難所（愛子小学校）,仙台市青葉区上愛子字新宮前１,"5,510(㎡)","2,700(人)","1,170(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.7587647,38.26867895,指定避難所
指定避難所（富沢小学校）,仙台市太白区富沢字中河原17-１,"6,060(㎡)","3,000(人)","1,048(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8626092,38.20968459,指定避難所
指定避難所（仙台大志高等学校）,仙台市宮城野区五輪1-4-10,,,352(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9007116,38.26287735,指定避難所
